접수날짜,불량유형_대,불량유형_중,불량유형_소,원인,유상/무상,처리내역,수리부품,수리비용,수리비용청구여부
2022-11-07,기능,화면,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2022-10-18,기능,화면,켜지지 않음,배터리 방전,무상,부품교체,Battery,30000,미청구
2023-03-20,기능,화면,동작안함,스위치고장,무상,부품교체,스위치 PCB Board Ass'y,25000,미청구
2021-09-06,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-02-22,기능,화면,켜지지 않음,배터리 방전,유상,부품교체,Battery,30000,30000
2023-05-14,외관,파손,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2021-12-04,외관,흠집,액정,사용자 과실,유상,부품교체,액정 Ass'y,80000,80000
2022-09-23,기능,화면,안켜짐,Pcb Board 고장,무상,부품교체,MAIN Pcb Board,50000,미청구
2022-08-24,외관,흠집,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2023-01-26,기능,화면,백화현상,컨넥터 접촉불량,유상,부품교체,컨넥터 Ass'y,18000,18000
2022-01-11,외관,오염,케이스,사용자 과실,유상,부품교체,케이스,20000,20000
2022-02-06,기능,화면,안켜짐,액정 고장,유상,부품교체,액정 Ass'y,80000,80000
2023-04-30,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-06-11,기능,화면,백화현상,컨넥터 접촉불량,무상,부품교체,컨넥터 Ass'y,18000,미청구
2021-10-04,기능,화면,켜지지 않음,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2021-03-18,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2023-04-11,기능,화면,동작안함,스위치고장,무상,제품교환,스위치 PCB Board Ass'y,25000,미청구
2021-02-28,기능,화면,켜지지 않음,휴즈 끊어짐,무상,부품교체,Fuse,3000,미청구
2021-01-05,외관,오염,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
2021-05-12,기능,화면,백화현상,Pcb Board 고장,유상,부품교체,MAIN Pcb Board,50000,50000
2023-01-24,기능,화면,두번 터치됨,Pcb Board 고장,무상,제품교환,MAIN Pcb Board,50000,미청구
2022-12-07,외관,흠집,액정,검수미비,무상,제품교환,액정 Ass'y,80000,미청구
